Clases	Tipo de dato	Periodo	Total
0116 Frutas	Índice	2018M01	98,803
0116 Frutas	Índice	2018M02	103,434
0116 Frutas	Índice	2018M03	103,994
0116 Frutas	Índice	2018M04	101,486
0116 Frutas	Índice	2018M05	109,584
0116 Frutas	Índice	2018M06	116,538
0116 Frutas	Índice	2018M07	110,553
0116 Frutas	Índice	2018M08	110,287
0116 Frutas	Índice	2018M09	107,950
0116 Frutas	Índice	2018M10	115,522
0116 Frutas	Índice	2018M11	109,054
0116 Frutas	Índice	2018M12	104,815
0116 Frutas	Índice	2019M01	103,257
0116 Frutas	Índice	2019M02	106,206
0116 Frutas	Índice	2019M03	104,440
0116 Frutas	Índice	2019M04	99,598
0116 Frutas	Índice	2019M05	103,656
0116 Frutas	Índice	2019M06	108,837
0116 Frutas	Índice	2019M07	105,709
0116 Frutas	Índice	2019M08	103,201
0116 Frutas	Índice	2019M09	103,517
0116 Frutas	Índice	2019M10	117,235
0116 Frutas	Índice	2019M11	114,351
0116 Frutas	Índice	2019M12	109,469
0116 Frutas	Índice	2020M01	106,834
0116 Frutas	Índice	2020M02	110,670
0116 Frutas	Índice	2020M03	109,344
0116 Frutas	Índice	2020M04	110,951
0116 Frutas	Índice	2020M05	118,516
0116 Frutas	Índice	2020M06	120,761
0116 Frutas	Índice	2020M07	114,795
0116 Frutas	Índice	2020M08	113,205
0116 Frutas	Índice	2020M09	113,986
0116 Frutas	Índice	2020M10	127,486
0116 Frutas	Índice	2020M11	118,215
0116 Frutas	Índice	2020M12	112,583
0116 Frutas	Variación mensual	2018M01	-1,0
0116 Frutas	Variación mensual	2018M02	4,7
0116 Frutas	Variación mensual	2018M03	0,5
0116 Frutas	Variación mensual	2018M04	-2,4
0116 Frutas	Variación mensual	2018M05	8,0
0116 Frutas	Variación mensual	2018M06	6,3
0116 Frutas	Variación mensual	2018M07	-5,1
0116 Frutas	Variación mensual	2018M08	-0,2
0116 Frutas	Variación mensual	2018M09	-2,1
0116 Frutas	Variación mensual	2018M10	7,0
0116 Frutas	Variación mensual	2018M11	-5,6
0116 Frutas	Variación mensual	2018M12	-3,9
0116 Frutas	Variación mensual	2019M01	-1,5
0116 Frutas	Variación mensual	2019M02	2,9
0116 Frutas	Variación mensual	2019M03	-1,7
0116 Frutas	Variación mensual	2019M04	-4,6
0116 Frutas	Variación mensual	2019M05	4,1
0116 Frutas	Variación mensual	2019M06	5,0
0116 Frutas	Variación mensual	2019M07	-2,9
0116 Frutas	Variación mensual	2019M08	-2,4
0116 Frutas	Variación mensual	2019M09	0,3
0116 Frutas	Variación mensual	2019M10	13,3
0116 Frutas	Variación mensual	2019M11	-2,5
0116 Frutas	Variación mensual	2019M12	-4,3
0116 Frutas	Variación mensual	2020M01	-2,4
0116 Frutas	Variación mensual	2020M02	3,6
0116 Frutas	Variación mensual	2020M03	-1,2
0116 Frutas	Variación mensual	2020M04	1,5
0116 Frutas	Variación mensual	2020M05	6,8
0116 Frutas	Variación mensual	2020M06	1,9
0116 Frutas	Variación mensual	2020M07	-4,9
0116 Frutas	Variación mensual	2020M08	-1,4
0116 Frutas	Variación mensual	2020M09	0,7
0116 Frutas	Variación mensual	2020M10	11,8
0116 Frutas	Variación mensual	2020M11	-7,3
0116 Frutas	Variación mensual	2020M12	-4,8
0116 Frutas	Variación anual	2018M01	2,6
0116 Frutas	Variación anual	2018M02	2,8
0116 Frutas	Variación anual	2018M03	2,5
0116 Frutas	Variación anual	2018M04	3,1
0116 Frutas	Variación anual	2018M05	5,9
0116 Frutas	Variación anual	2018M06	12,1
0116 Frutas	Variación anual	2018M07	11,0
0116 Frutas	Variación anual	2018M08	14,6
